구분,질문,답변
전세,제가 2022년 1월 전세 계약을 했습니다 22년 8월에 집주인이 바뀐걸 모르다가 23년 3월 보일러 고장으로 계약했던 집주인에게 전화하니 집주인이 변경되었다는걸 알았습니다.8월에 변경된 집주인은 전세 계약 승계를 동의 했고 저한테 아무도 연락을 안했던 겁니다그래서 23년 3월쯤에 이 사실을 알고 계약서는 새로 작성 안하고 보증보험만 변경 한 상태입니다.질문1.  전세 종료가 24년 1월이라 집주인이 증액 없이 연장하자고 하는데 이때 계약서를 어떻게 작성해야 할지 궁금합니다.질문2. 재계약시 특약사항에 무엇을 넣으면 좋을지 알려주세요,"안녕하세요. 서울지방변호사회 소속으로 지식iN 법률상담을 진행하고 있는 최성민 변호사입니다.​전세사기 대응방법​최근 세입자들의 소중한 보증금을 떼어먹는 전세사기가 기승을 부리고 있어 세입자들의 각별한 주의가 필요한 상황입니다. 하지만 사기꾼들의 수법이 워낙 교묘하기 때문에 조심을 한다고 하더라도 눈 뜨고 코베이는 식으로 전세사기를 당하기 십상입니다. 전세사기는 수년간 그 수법이 진화되어 왔습니다. ​전세사기에 대처하는 방법으로는 (1) 형사고소, (2) 보증금반환청구소송, (3) 채권추심/강제집행이 있습니다. 이 세 가지 절차가 유기적으로 진행되어야 전세사기 사건에서 피해를 회복할 수 있습니다. 공인중개사가 전세사기에 적극 가담했다면 (4) 공인중개사 및 중개사협회에 대한 손해배상청구도 생각해볼 수 있습니다. ​HUG 등 전세보증보험을 가입하였다고 하더라도, 석연치 않은 이유들로 보증이행을 하지 않는 경우가 허다합니다. 보증보험회사의 입장에서도 세입자에게 보증채무를 이행한 뒤 집주인에게 구상권을 행사하여 보증금을 회수해야 하는데, 집주인으로부터 보증금회수가 불가능할 경우 이는 고스란히 보증보험회사의 손해로 귀속되기 때문입니다. 이 경우 보증금반환에 대한 부담은 고스란히 세입자가 부담하게 됩니다.​최근 유행하는 갭투자 전세사기는 결국 갭투자 사기꾼이 남겨놓은 재산을 피해자들끼리 나눠먹기를 하는 형국으로 귀결되는 경우가 많습니다. 따라서 신속한 법적 조치를 취한 쪽이 그렇지 않은 쪽보다 유리할 수밖에 없습니다. 전세사기는 수년동안 그 형태가 진화해왔고, 그 수법이 사안마다 다르기 때문에 사안에 맞는 적절한 해결책을 찾기를 원하신다면 관련 자료를 지참해 전문 변호사와 상담을 진행해보시는 것이 좋습니다. ​참고하실만한 글을 소개해드립니다. 부동산 전세사기 대응방법에 관해서는 아래 글을 참고하시면 도움이 되실 것입니다.​https://blog.naver.com/kindlawyer4u/222900341128              [전세사기변호사.com] 전세사기 피해회복 3박자가 잘 맞아야 한다. 전세사기변호사가 알려주는 전세사기 피해회복 방법 세입자들의 소중한 보증금을 떼어먹는 전세사기 사건이... blog.naver.com            ​"
전세,"안녕하세요. 전세사기를 당한것 같습니다. 2021년 12월쯤에 전세계약을 해서 2023년 12월이면 계약이 만료됩니다.계약 당시 임대인이 아닌 대리인과 계약을 했습니다.중개인은 대리인이 건축주라고 설명했습니다.계약 이후에 전세대출 관련해서 은행에 제출할 대리인 신분증을 요구하자,중개인이 왜 은행에 대리인 위임장도 제출했냐면서 저에게 뭐라고 하더니대리인분이 별로 안좋아하실텐데.. 걱정하면서 중개인이 굉장히 꺼려했습니다. (결국 대리인 신분증을 받긴 받았습니다.)뭐 거기까지는 대리인이 전세대출, 부동산 계약 잘 모르시는 분이면 그럴수도 있다고 생각했습니다.중개인의 말과 행동으로 봤을때는 대리인이 정말 제3자의 인물처럼 보였기 때문입니다.하지만, 최근에 전세사기가 의심되어 중개인에게 전화를 걸어보니 부동산을 그만두었다고 하더라구요.네이버 지도에도 검색해보니 부동산이 폐업을 한 상태였습니다. 네이버 지도 로드뷰로 확인해보니 개업기간은 2020년11월~2022년6월 (1년6개월) 입니다. 아무리 생각해도 이상해서 구글에 해당 부동산을 검색해봤습니다.대리인이 예전에 사람인에 부동산 실무자를 모집하는 글이 올렸더라구요.왜 계약 당시에는 부동산과 관련없는 제3자의 인물인줄 알았던 인물이 부동산 구인글을 올렸을까요..?또 그때는 몰랐는데, 제가 부동산 중개수수료를 그 대리인 계좌로 입금했더라구요.저의 추측을 정리해보면 이렇습니다.건축주라고 자칭하는 대리인이 공인중개사 명의를 빌려서 전세사기를 목적으로 기획부동산을 개업.아마 건물 하나만 떼어먹자고 이렇게까지 하진 않았을거 같습니다. (다른 건물 여러개가 더 있을것으로 추정됨)빌린 공인중개사 명의로 전세계약 체결계약을 망설이는 사람에게 학생이라 복비 깎아준다, 안받는다 하고 꼬드김 (저한테 그랬습니다.)(결국에는 복비를 내긴 했습니다. 나중에 일터졌을때, 부동산에서 공제증서 이런거 받으려면 복비를 주는게 맞다고 생각해서요)계약 당시 제 앞에 전세 세입자 5명이라고 들었는데, 확정일자/전입신고 기준으로 확인해보니 전세 세입자 중에서 제가 8순위더라구요.. 근저당이랑 선순위 임차보증금 합하면 건물가를 훌쩍 넘어서 경매 넘어가면 저는 한푼도 못받을 것 같습니다.질문1. 이 경우 부동산에 손해배상 청구를 할 수 있을까요? 중개사도 한패로 전세사기를 쳤다고 볼만한 증거가 될까요?질문2. 이미 폐업한 부동산이고 연락처도 휴대폰번호가 아닌 유선전화번호라서 연락해볼 방법이 없습니다. 이런 경우 어떻게 대처해야할까요?(현재 임대인은 개인회생을 법원에 신청한 상태이고, 대리인은 사기죄로 수감중이라는 소식을 들었습니다.또 저랑 같은 지역에 대리인에게 전세사기를 당한 피해자분들이 다른 건물에도 있었구요..다른 건물들에서도 피해자가 더 쏟아져 나올 것 같습니다.아직 경매 개시가 되지 않았거나, 계약기간이 끝나지 않아 상황을 인지하지 못한 분들이 많은 것 같습니다.)",안녕하세요. 서울지방변호사회 소속으로 지식iN 법률상담을 진행하고 있는 황인 변호사입니다.​부동산전세사기를 당하셨다면 전세보증금반환청구소송을 제기하시는 것이 필요합니다.​최근 들어 급격히 증가한 부동산전세사기 피해로 인해 많은 피해자가 속출했습니다.​이에 따라 더욱 신속하게 보증금을 회수하고자 한다면 소송이 가장 확실하다고 말씀드릴 수 있습니다.​전세사기 유형에 맞게 그에 맞는 대응법이 있기에 법률대리인의 조력을 통해 문제를 해결해 나가시기를 바랍니다.​더욱 자세한 정보는 아래 링크를 통해 확인 가능하십니다.​              전세보증금사기변호사 통해 보증금 회수 및 처벌하는 방법 안녕하세요. 법무법인 테헤란 친절한 변호사 황인입니다. 지난 30일 오전 전세사기 피해자들과 시민단체가 ... blog.naver.com            ​
전세,부동산전세사기 당해서 너무 힘듭니다.전재산에 대출까지 받아서 영끌한 건데 부동산전세사기로 지금 너무 힘든 상황입니다.전세보증금반환청구소송 진행하고 싶은데 부동산전세사기 민사소송 관련해서 잘 아시는 변호사님 계시면 도움 좀 부탁드립니다.,"안녕하세요. 서울지방변호사회 소속으로 지식iN 법률상담을 진행하고 있는 심재국 변호사입니다.​예전에는 부동산전세사기가 위법한 행위임을 입증하는 것 자체가 쉽지 않았으나 요즈음 대부분 전세사기소송은 유죄로 판결이 나고 있고 법적 조치 또한 가볍지 않은데요. ​전세사기처벌은 임대업자가 세입자에게 계약이 끝난 후 보증금 부분에 대해 돌려줄 능력이 처음부터 있었는지 여부를 따져서 유무죄를 판단하게 됩니다. ​만약 부동산전세사기소송에서 혐의가 인정된다면 최대 10년 이하의 징역형 또는 2천만원 이하의 벌금을 부여받게 할 수 있습니다. ​하지만 형사소송과는 별개로 받지 못한 전세금을 되찾고자 하신다면, 확실한 증거자료를 모아 민사소송을 통해 금전적 손실을 복구해야하는데요.​따라서 부동산전세사기로 인해 전문변호사님과의 상담을 원한다면 법무법인 대륜의 부동산전문변호사님의 날카로운 법적솔루션을 받아보시길 바랍니다.​▼ 부동산전세사기로 상담예약을 원하신다면 ▼                    ▼ 부동산전문센터 바로가기 ▼              법무법인(유한) 대륜 검찰 출신,경찰 출신,법원 전관출신 변호사와 형사, 이혼, 상속, 부동산, 민사, 도산, 세무, 회계 등 다양한 170여명의 전문변호사가 1-3-1 전담팀을 이루어 투입됩니다. www.daeryunlaw.com            ​"
전세,부동산전세사기는 뉴스에서만 보던 일이었는데 제가 당할 줄을 꿈에도 몰랐네요.제가 이번 전세계약이 끝나서 더이상 재계약은 안하고 싶어서 미리 집주인한테 안한다고 카톡으로 말했고 계약종료시점에 전세금을 빨리달라고요구하니 이틀 뒤에 세입자가 들어오기로 했다고 그때주겠다하길래 알겠다했는데갑자기 세입자가 안들어와서 못줄거같다고 하네요. 지금은 연락도 안돼서 민형사소송생각하고 있습니다.,"임차권 등기 신청하거나 경매 신청한다고 해도 순위가 달라지지 않습니다.전입신고, 확정일자가 빠른 순으로 배당을 받습니다."
전세,부동산 전세 보증금 못받고있는데요그동안 조금씩 나눠서 줘서 따로 임차권등기설정은 안했습니다근데 다른 전세입자들 보증금도 밀리기 시작했는지다른 전세입자들은 임차권등기를 했더군요다른 세입자들에 의해 경매까지 진행된다고 했을때그러한 절차를 진행한 점이 대항력 외에 임차권이나 경매등을 진행하지않은 저보다 배당받는 순위가 높아지는지 궁금합니다,"안녕하세요. 서울지방변호사회 소속으로 지식iN 법률상담을 진행하고 있는 정종욱 변호사입니다.​​전세계약이 종료되면 집주인은 세입자에게 보증금 전액을 반환해주어야 할 의무가 있습니다. 전세보증금을 돌려주지 않는 집주인이 “새로운 세입자가 구해지면 보증금을 돌려주겠다.”고 이야기하는 경우가 많은데, 이는 법률상 근거가 없는 주장입니다. 전세만기에도 집주인이 보증금을 돌려주지 않으면 임차권등기명령, 전세보증금반환소송을 진행하셔야 합니다. 구체적인 대응방법은 사안에 따라 다르니, 보다 자세한 상담을 원하시면 관련자료를 지참해 전문 변호사와 상담을 진행해보시는 것이 좋습니다. ​참고하실만한 글을 소개해드립니다. 임차권등기명령, 전세보증금반환소송에 관해서는 아래 글을 참고하시면 도움이 되실 것입니다.              [부동산 전문 변호사] 보증금 반환의 필수절차 - 임차권등기명령 임차권등기명령 안녕하세요. 케이엔파트너스 부동산법률연구소 입니다. 저희 부동산법률연구소는 대한변호... blog.naver.com                 [부동산전문변호사] 전세금반환소송 어떻게 진행해야 할까? 전세금반환소송 진행방법 안녕하세요~ 케이엔파트너스 부동산법률연구소 입니다. 저희 부동산법률연구소는 ... blog.naver.com            ​"
전세,"부동산 전세 기간이되어 알아보니 집 시세가낮아져 현재 금액으로는 보증 보험을 들지 못하여 집주인에게 재계약조건으로 전세금을 낮추기로하고  차액은 재계약 당일에 주기로하고 은행에도 재계약을 진행하였습니다. 계약 날짜가 10월 7일인데 집주인이 10월 4일에 연락이와 본인이 가지고있는돈이 (받아야할돈 1700만원) 500만원뿐이라 그돈을 주고 1200만원은 2월까지 준다고하여 일딴 알겠다고하고 공증서달라고하였더니 알겠다고하였습니다. 그런데 현재 10월 5일 집주인이 핸드폰을 꺼놓고 잠수를 탄상황입니다. 1200만원을 공증 서주겟다고한 녹음내용과 , 본인이 미안하다며 2월에 주겠다고한 문자를 증거로 가지고 있는 상황인데 어떻게 신고를 하여야하나요 고소를 해야하는건가요?",중개사끼고 위임장 인감증명서만 잘 확인하면 문제 없을듯 합니다
전세,부동산에서 전세계약 하는데 집주인이 없이 대리 계약해도 되나요?,"안녕하세요. 서울지방변호사회 소속으로 지식iN 법률상담을 진행하고 있는 정찬우 변호사입니다.​매매가 아닌 방법으로 주인이 있는 건물에 일정한 기간과 금액을 지불하여 거주를 하는 형태를 월세나 전세라고 하는데요.​만약 임대차계약을 한 후 계약을 갱신하지 않겠다는 의견을 밝히고 종료를 하는 경우 임대인은 임차인에게 전세보증금을 반환해야 합니다.​하지만, 해당 건물의 부채를 갚지 않아 경매로 넘어가거나 집주인이 연락두절이 되어 본인의 보증금을 받지 못하는 경우, 소송을 통해서 권리를 되찾을 수 있는데요. ​흔히 부동산전세사기라고 불리는 형태의 범죄인 만큼, 주택임대차보호법 안에 적힌 확정 일자와 우선변제권, 그리고 임차권등기부등본 등을 확실하게 알고 있어야만 향후 불리한 일을 당하지 않습니다. ​또한, 임대인의 의도적인 사기 행각이라는 것이 추후에 밝혀질 경우 집주인을 상대로 사기고소까지 가능하기에, 빠른 시일 내에 법률 대리인의 조력을 받는 것이 좋습니다. ​따라서, 확실한 도움이 필요하신 경우, 전국 32개 지사를 운영하고 있는 법무법인 대륜은 서울 본사 강남을 중심으로 모든 사건을 본사에서 관리 및 처리하고 있기에, 성남사기변호사뿐만 아니라 전국 지사 소속 변호사에게 법률 상담 받아보시길 바랍니다. ​​☎ 빠르게 내 사건 진단받기 : 1660-0126                    ​▶ 홈페이지를 통한 예약 접수는?              법무법인(유한) 대륜 검찰 출신,경찰 출신,법원 전관출신 변호사와 형사, 이혼, 상속, 부동산, 민사, 도산, 세무, 회계 등 다양한 170여명의 전문변호사가 1-3-1 전담팀을 이루어 투입됩니다. www.daeryunlaw.com            ​"
전세,2억에 달하는 오피스텔을 전세계약했고 계약종료하려고 연락을 했거든요?근데 집주인 연락을 안받아서 보니깐 집이 경매에 넘어가게 생겼어요.제 돈 날아가면 안되거든요?어떻게 전세보증금 찾을 방법 없을까요?성남사기변호사님 부동산전세사기 당했습니다.,"안녕하세요. 서울지방변호사회 소속으로 지식iN 법률상담을 진행하고 있는 이수학 변호사입니다.​질문주신 내용으로 보아 전세대출사기와 같은 범죄에 연루된 상황으로 보입니다.​근래 관련 범죄에 대해 큰 규모의 피해액과 질문자님처럼 피해자가 다수인 경우가 늘고 있어그 처벌 수위가 다소 높아지고 있습니다.​우선 질문님의 경우 부동산을 상대로 반환청구소송 및 전세사기고소가 가능합니다.​가장 중요한 것은 본인이 전세금을 입금했다는 사실을 입증할 수 있어야 하는데요.​전세금 입금 당시 부동산 측과 연락한 내역, 입금 내역 등을 증거로 제출해야 하기에 관련 자료를 확보하는 것이 우선순위로 보입니다.​혹여나 일어날 수 있는 돌발상황을 대비하기 위해 법률적인 조력이 필요해 보이는데요.​자세한 정황을 알 필요가 있어 상담을 통해 법적으로 해결하시는 것을 추천드리겠습니다.​▼해당 사안에 관하여 더 궁금한 점이 있다면 아래 링크 참고 부탁드립니다.▼              서울전세사기변호사 해당하는 유형에 맞게 서울전세사기변호사 해당하는 유형에 맞게 요 근래 많은 주목이 이루어지는 사건 중 하나가 전세사기입니다... blog.naver.com            ​"
전세,전세사기고소 관련으로 고소가 가능한 부분인지 궁금합니다.제가 얼마 전에 부동산에서 전세집을 계약했습니다집주인이 멀리 살아서 부동산이 직접 관리한다고 들었는데요부동산 말로는 자기가 전해주겠다며 전세금을 부동산 쪽으로 보내달라더라고요그런데 나중에 보니 집주인은 전세금을 받은 적이 없고 제가 월세로 들어온 줄 알고 있었어요부동산 쪽에선 자기 사업이 안 되어 입주자들 돈을 썼다고 하는데 전세사기고소가 가능한가요?,"안녕하세요 구자왕 입니다.​전세대출을 받을 경우 부동산 중개인의 도장이 들어간 계약서를 요구합니다.그 외 특약사항이나 여러가지 절차가 필요하니해당 주택 근처 부동산에 유선상 문의하여 대필 가능하냐 물어보시고대필요 (1~20) 지불하고 공인중개사 도장 들어가게 계약서 작성해달라 요청하시면 됩니다.​ai로 복붙이 아닌, 직접 질문을 읽고 답변드리고 있습니다.더 궁금하신 건 추가질문 또는 1:1 질문 남겨주세요.​https://kin.naver.com/qna/question.nhn?u=b1YQ%2FSD6YG4j5eS15%2Bx2yCjOY4JGkSM7Ff8ueMysFSQ%3D"
전세,"안녕하세요 당근 부동산 전세 직거래 관련이 처음이라 질문이 있는데요 1. 당근 부동산 전세 매물을 거래하려고 하는데 집주인과 직접거래, 중개사 끼고 거래 두가지 방법이 있던데,이건 집주인과 협의해서 하면 되는 문제인가요? 저는 아무래도 수수료 내더라도 중개사 끼고 하고싶은데 이럴경우 제가 중개사를 구해야하나요?","안녕하세요. 서울지방변호사회 소속으로 지식iN 법률상담을 진행하고 있는 양보라 변호사입니다.​전세계약을 하게 되면 대략 2년의 세월동안 주거지에 머물게 되는데 만료일이 다가오는 시점에서 집주인과 세입자 모두 갱신할것인지 아닌지를 결정해야하는데 의사를 밝히지 않으면 묵시적 갱신이 이루어지게되는데요.​만약 부동산전세사기를 당해 소송을 생각중이시라면 실소유자와 집주인의 신분증이 일치한지, 계약을 한 사람과 등기부등본상의 이름이 동일한지 확인을 해야합니다. ​또한 주택임대차보호법으로 규율이 되고 있는 확정된 일자, 우선변제권과 임차권등기부등본 등 확실히 알고 있어야 하며 승소를 하였다하더라도 무조건 돈을 돌려받을 수 있는 것은 아니지만 강제집행을 통하여 받아낼 수 있습니다. ​부동산소송의 경우 최소 6개월에서 최대 1년넘게 소요되며 처지에 따라 여러가지대응을 해야하기에 법조인의 법률적인 협조를 받는 것을 추천드리는데요.​법무법인 대륜은 각 분야별로 전문센터를 운영중에 있으며 한 사건에 3명의 전문변호인이 전담을 하고 있기에 다양한 시각에서 사건을 처리할 수 있습니다. ​아래의 홈페이지로 상담예약을 접수하거나 대표전화로 연락을 주시면 신속히 예약을 도와드리겠습니다. ​▶ 대표전화 상담예약 바로가기                    ▶ 홈페이지 상담예약 바로가기               법무법인(유한) 대륜 법무법인(유한) 대륜입니다. 검찰 출신,경찰 출신,법원 전관출신 변호사와 형사, 이혼, 상속, 부동산, 민사, 도산, 세무, 회계 등 다양한 100여명의 전문변호사가 1-3-1 전담팀을 이루어 투입됩니다. www.daeryunlaw.com            ​"
전세,부동산전세0사기를 당할 줄은 꿈에도 몰랐는데 제가 당했네요.전세계약이 끝나기 6개월전부터 계약연장을 안한다고 의사를 밝혔는데 집주인이 전세금을 돌려주지를 않고 있어요.사업이 망해서 지금 돌려줄 수 있는 전세자금이 없다고 합니다.그래서 부동산전세사기소송하고 싶은데 오래걸릴까요?,전세계약은 집주인이 직접 올리거나 부동산이 맡아서 올릴 수 있습니다. 따라서 다른 집들이 올라오는 것과는 상관없이 전세계약이 올라오지 않은 이유는 부동산이 아직 올리지 않았을 가능성이 있습니다. 전세사기에 대한 우려를 가지셨다면 부동산과 상담해보시는 것이 좋습니다.행복하고 건강한 하루 보내셔용
전세,최근에 9월 중순쯤 전세계약을 했는데 저희보다 늦게 계약한 집들도 다 호갱노노에 올라오는데 왜 저희집 계약건은 안올라올까요? 심지어 한 부동산(계약한부동산 아님)은 제가 계약한 집을 아직 올려놓고있습니다.요즘 전세사기다뭐다 말이 많아서 혹시나 하는 마음에 문의드립니다.,"질문에 답변드리겟습니다.1) 혹시 이와 같은 상황에서 부동산 계약을 직거래로 하는거에 대해서 어떻게 생각하시는지요?==> 계약당사자간 협의에 따라 결정되는 사항입니다. 우선적으로 가장 중요한 것은 등기사항 전부증명서를 열람한 후 이상이 없다면 기존 계약서 여백을 활용하여 변경된 내용을 작성하여도 충분합니다.2) 또한, 직거래를 한다면 어떻게 해야 하는지 자세히 좀 알려주세요==> 첫번째, 등기사항 전부증명서를 열람하여 이상이 없는 경우 진행하시기 바랍니다."
전세,"안녕하세요, 현재 해당 집에 2년 계약 및 2년 갱신하여 4년째 살고 있는 세입자 입니다.집주인과의 협의로 향후 전세를 계속 이어서 계약 하려고 하는데요.계약금을 제외하고 기존계약도 그대로고, 매물도, 계약당사자도 똑같은 상황이라,부동산 중개인 통해서 계약려고 하니 수수료가 너무 아깝다는 생각이 듭니다.1) 혹시 이와 같은 상황에서 부동산 계약을 직거래로 하는거에 대해서 어떻게 생각하시는지요?2) 또한, 직거래를 한다면 어떻게 해야 하는지 자세히 좀 알려주세요","질문에 답변드리겟습니다.1) 혹시 이와 같은 상황에서 부동산 계약을 직거래로 하는거에 대해서 어떻게 생각하시는지요?==> 계약당사자간 협의에 따라 결정되는 사항입니다. 우선적으로 가장 중요한 것은 등기사항 전부증명서를 열람한 후 이상이 없다면 기존 계약서 여백을 활용하여 변경된 내용을 작성하여도 충분합니다.2) 또한, 직거래를 한다면 어떻게 해야 하는지 자세히 좀 알려주세요==> 첫번째, 등기사항 전부증명서를 열람하여 이상이 없는 경우 진행하시기 바랍니다."
